sexo,estado_animo,genero_pelicula,edad
Femenino,feliz,comedia,25
Masculino,triste,triste,30
Femenino,enojado,accion,22
Masculino,aburrido,comedia,35
Femenino,normal,fantasia,28
Masculino,feliz,amor,24
Femenino,triste,triste,29
Masculino,enojado,accion,32
Femenino,aburrido,comedia,27
Masculino,normal,fantasia,26
Femenino,enojado,accion,30
Masculino,aburrido,comedia,28
Femenino,feliz,amor,26
Masculino,normal,fantasia,24
Femenino,triste,triste,31
Masculino,enojado,accion,23
Femenino,feliz,comedia,27
Masculino,triste,triste,29
Femenino,enojado,accion,32
Masculino,aburrido,comedia,26
Femenino,normal,fantasia,30
Masculino,feliz,amor,25
Femenino,enojado,accion,28
Masculino,aburrido,comedia,27
Femenino,feliz,comedia,24
Masculino,normal,fantasia,29
Femenino,triste,triste,26
Masculino,enojado,accion,31
Femenino,aburrido,comedia,22
Masculino,normal,fantasia,23
Femenino,feliz,amor,32
Masculino,enojado,accion,30
Femenino,aburrido,comedia,28
Masculino,normal,fantasia,26
Femenino,feliz,comedia,24
Masculino,triste,triste,29
Femenino,enojado,accion,31
Masculino,aburrido,comedia,27
Femenino,normal,fantasia,25
Masculino,feliz,amor,23
Femenino,enojado,accion,28
Masculino,aburrido,comedia,30
Femenino,feliz,comedia,26
Masculino,normal,fantasia,32
Femenino,triste,triste,24
Masculino,enojado,accion,29
Femenino,aburrido,comedia,27
Masculino,normal,fantasia,31
